,isocode,country,Confirmed,Deaths
0,AFG,Afghanistan,157445,7312
1,AGO,Angola,65259,1735
2,ALB,Albania,201730,3110
3,AND,Andorra,18010,132
4,ARE,United Arab Emirates,742328,2148
5,ARG,Argentina,5340676,116646
6,ARM,Armenia,340723,7683
7,ASM,United States,10,0
8,ATG,Antigua and Barbuda,4147,117
9,AUS,Australia,219121,2056
10,AUT,Austria,1198478,12796
11,AZE,Azerbaijan,596388,7967
12,BDI,Burundi,20439,38
13,BEL,Belgium,1827467,27167
14,BEN,Benin,24863,161
15,BFA,Burkina Faso,16000,286
16,BGD,Bangladesh,1577443,28001
17,BGR,Bulgaria,703160,28852
18,BHR,Bahrain,277831,1394
19,BHS,Bahamas,22825,695
20,BIH,Bosnia and Herzegovina,277228,12687
21,BLR,Belarus,663813,5162
22,BLZ,Belize,30680,579
23,BOL,Bolivia,543390,19222
24,BRA,Brazil,22143091,615636
25,BRB,Barbados,26095,238
26,BRN,Brunei,15186,98
27,BTN,Bhutan,2641,3
28,BWA,Botswana,195302,2419
29,CAF,Central African Republic,11742,101
30,CAN,Canada,1815686,29821
31,CHE,Switzerland,1044633,11591
32,CHL,Chile,1772547,38501
33,CHN,China,111741,4849
34,CIV,Cote d'Ivoire,61824,706
35,CMR,Cameroon,107148,1804
36,COL,Colombia,5081064,128780
37,COM,Comoros,4542,150
38,CPV,Cabo Verde,38450,351
39,CRI,Costa Rica,567383,7312
40,CUB,Cuba,963090,8309
41,CYP,Cyprus,136832,601
42,CZE,Czechia,2240721,33665
43,DEU,Germany,6200937,103124
44,DJI,Djibouti,13508,187
45,DMA,Dominica,6120,39
46,DNK,Denmark,514609,2959
47,DOM,Dominican Republic,408516,4212
48,DZA,Algeria,211469,6103
49,ECU,Ecuador,526870,33250
50,EGY,Egypt,363162,20727
51,ERI,Eritrea,7458,61
52,ESP,Spain,5202958,88159
53,EST,Estonia,224993,1823
54,ETH,Ethiopia,372215,6800
55,FIN,Finland,191226,1360
56,FJI,Fiji,52543,697
57,FRA,France,8021237,120519
58,FSM,Micronesia,1,0
59,GAB,Gabon,37477,280
60,GBR,United Kingdom,10523316,146055
61,GEO,Georgia,865293,12344
62,GHA,Ghana,130920,1209
63,GIN,Guinea,30770,387
64,GMB,Gambia,9992,342
65,GNB,Guinea-Bissau,6444,149
66,GNQ,Equatorial Guinea,13599,175
67,GRC,Greece,966221,18595
68,GRD,Grenada,5908,200
69,GTM,Guatemala,619852,15986
70,GUM,United States,19248,266
71,GUY,Guyana,38160,1006
72,HND,Honduras,378251,10412
73,HRV,Croatia,631037,11218
74,HTI,Haiti,25510,747
75,HUN,Hungary,1134869,35122
76,IDN,Indonesia,4257685,143867
77,IND,India,34641561,473537
