,isocode,country,Confirmed,Deaths
0,AFG,Afghanistan,157032,7306
1,AGO,Angola,65080,1731
2,ALB,Albania,197776,3063
3,AND,Andorra,16426,131
4,ARE,United Arab Emirates,741643,2145
5,ARG,Argentina,5319867,116458
6,ARM,Armenia,335738,7379
7,ASM,US,4,0
8,ATG,Antigua and Barbuda,4138,117
9,AUS,Australia,203642,1978
10,AUT,Austria,1095297,12180
11,AZE,Azerbaijan,578627,7709
12,BDI,Burundi,20351,38
13,BEL,Belgium,1659025,26743
14,BEN,Benin,24850,161
15,BFA,Burkina Faso,15514,265
16,BGD,Bangladesh,1574948,27961
17,BGR,Bulgaria,682552,27778
18,BHR,Bahrain,277481,1394
19,BHS,Bahamas,22696,671
20,BIH,Bosnia and Herzegovina,271323,12386
21,BLR,Belarus,645069,4995
22,BLZ,Belize,29967,569
23,BOL,Bolivia,531428,19096
24,BRA,Brazil,22043112,613339
25,BRB,Barbados,24432,215
26,BRN,Brunei,14771,97
27,BTN,Bhutan,2633,3
28,BWA,Botswana,194652,2416
29,CAF,Central African Republic,11708,101
30,CAN,Canada,1783319,29635
31,CHE,Switzerland,970753,11435
32,CHL,Chile,1749099,38175
33,CHN,China,111058,4849
34,CIV,Cote d'Ivoire,61660,703
35,CMR,Cameroon,106794,1791
36,COL,Colombia,5055253,128236
37,COM,Comoros,4478,150
38,CPV,Cabo Verde,38345,349
39,CRI,Costa Rica,566296,7280
40,CUB,Cuba,961458,8299
41,CYP,Cyprus,131462,591
42,CZE,Czechia,2044018,32408
43,DEU,Germany,5595674,100123
44,DJI,Djibouti,13503,186
45,DMA,Dominica,5642,35
46,DNK,Denmark,467022,2842
47,DOM,Dominican Republic,404754,4195
48,DZA,Algeria,209463,6035
49,ECU,Ecuador,524432,33128
50,EGY,Egypt,353024,20109
51,ERI,Eritrea,7250,57
52,ESP,Spain,5111842,87904
53,EST,Estonia,219259,1763
54,ETH,Ethiopia,370712,6708
55,FIN,Finland,179534,1302
56,FJI,Fiji,52474,695
57,FRA,France,7586146,119686
58,FSM,Micronesia,1,0
59,GAB,Gabon,37223,276
60,GBR,United Kingdom,10028829,144728
61,GEO,Georgia,822383,11679
62,GHA,Ghana,130920,1209
63,GIN,Guinea,30751,387
64,GMB,Gambia,9988,342
65,GNB,Guinea-Bissau,6438,146
66,GNQ,Equatorial Guinea,13547,170
67,GRC,Greece,901661,17612
68,GRD,Grenada,5880,200
69,GTM,Guatemala,615725,15870
70,GUM,US,19146,263
71,GUY,Guyana,37524,980
72,HND,Honduras,377712,10401
73,HRV,Croatia,582769,10505
74,HTI,Haiti,24974,723
75,HUN,Hungary,1044852,33519
76,IDN,Indonesia,4254443,143766
77,IND,India,34544882,466980
78,IRL,Ireland,542146,5652
79,IRN,Iran,6092822,129280
80,IRQ,Iraq,2076922,23725
81,ISL,Iceland,17152,35
82,ISR,Israel,1340481,8180
83,ITA,Italy,4954585,133415
84,JAM,Jamaica,90905,2365
85,JOR,Jordan,928256,11429
86,JPN,Japan,1726074,18349
87,KAZ,Kazakhstan,1049637,17732
88,KEN,Kenya,254816,5332
89,KGZ,Kyrgyzstan,182996,2732
90,KHM,Cambodia,119977,2914
91,KIR,Kiribati,2,0
92,KNA,Saint Kitts and Nevis,2774,28
93,KWT,Kuwait,413198,2465
94,LBN,Lebanon,662269,8676
95,LBR,Liberia,5819,287
96,LBY,Libya,369455,5414
97,LCA,Saint Lucia,12927,279
98,LIE,Liechtenstein,4396,61
99,LKA,Sri Lanka,559605,14205
100,LSO,Lesotho,21735,662
101,LTU,Lithuania,460467,6603
102,LUX,Luxembourg,87352,862
103,LVA,Latvia,249037,4063
104,MAR,Morocco,949263,14770
105,MCO,Monaco,3612,36
106,MDA,Moldova,360261,8950
107,MDG,Madagascar,44072,967
108,MDV,Maldives,91046,248
109,MEX,Mexico,3867976,292850
110,MHL,Marshall Islands,4,0
111,MKD,North Macedonia,213306,7474
112,MLI,Mali,17096,601
113,MLT,Malta,38928,464
114,MNE,Montenegro,155694,2268
115,MNG,Mongolia,379544,1976
116,MNP,US,395,3
117,MOZ,Mozambique,151503,1940
118,MRT,Mauritania,38881,822
119,MUS,Mauritius,20752,240
120,MWI,Malawi,61867,2304
121,MYS,Malaysia,2602835,30147
122,NAM,Namibia,129126,3571
123,NGA,Niger,6902,248
124,NGA,Nigeria,213677,2974
125,NIC,Nicaragua,17152,212
126,NLD,Netherlands,2552933,19546
127,NOR,Norway,251397,1049
128,NPL,Nepal,820004,11513
129,NZL,New Zealand,10790,41
130,OMN,Oman,304514,4113
131,PAK,Pakistan,1283223,28690
132,PAN,Panama,476611,7358
133,PER,Peru,2228212,200961
134,PHL,Philippines,2828660,47682
135,PLW,Palau,8,0
136,PNG,Papua New Guinea,34707,542
137,POL,Poland,3406129,81688
138,PRI,US,188015,3266
139,PRT,Portugal,1130091,18370
140,PRY,Paraguay,462453,16365
141,QAT,Qatar,242518,611
142,ROU,Romania,1769783,55617
143,RUS,Russia,9270885,262733
144,RWA,Rwanda,100277,1341
145,SAU,Saudi Arabia,549590,8828
146,SDN,Sudan,41959,3114
147,SEN,Senegal,73973,1885
148,SGP,Singapore,257510,678
149,SLB,Solomon Islands,20,0
150,SLE,Sierra Leone,6400,121
151,SLV,El Salvador,118041,3762
152,SMR,San Marino,5872,93
153,SOM,Somalia,22969,1324
154,SRB,Kosovo,161037,2983
155,SRB,Serbia,1241492,11385
156,SSD,South Sudan,12701,133
157,STP,Sao Tome and Principe,3731,56
158,SUR,Suriname,50629,1158
159,SVK,Slovakia,1105970,14056
160,SVN,Slovenia,408623,5114
161,SWE,Sweden,1194636,15142
162,SWZ,Eswatini,46506,1248
163,SYC,Seychelles,23197,125
164,SYR,Syria,47558,2719
165,TCD,Chad,5107,175
166,TGO,Togo,26219,243
167,THA,Thailand,2081992,20544
168,TJK,Tajikistan,17493,125
169,TLS,Timor-Leste,19820,122
170,TON,Tonga,1,0
171,TTO,Trinidad and Tobago,67664,2009
172,TUN,Tunisia,716702,25356
173,TUR,Turkey,8654142,75618
174,TZA,Tanzania,26261,730
175,UGA,Uganda,127305,3250
176,UKR,Ukraine,3530969,87999
177,URY,Uruguay,398436,6119
178,USA,US,47877773,772208
179,UZB,Uzbekistan,191956,1385
180,VAT,Holy See,27,0
181,VCT,Saint Vincent and the Grenadines,5446,74
182,VEN,Venezuela,426799,5097
183,VIR,US,7490,85
184,VNM,Vietnam,1155778,24243
185,VUT,Vanuatu,6,1
186,WSM,Samoa,3,0
187,YEM,Yemen,9972,1942
188,ZAF,South Africa,2950035,89657
189,ZMB,Zambia,210099,3667
190,ZWE,Zimbabwe,133747,4703
