,Country/Region,max_case_rates,avg_case_rates
0,United States,303487.0,72959.32661870503
1,India,414188.0,49965.5381294964
2,Brazil,150106.0,31949.555395683452
3,United Kingdom,92907.0,16193.387050359712
4,Russia,40210.0,14363.647482014389
5,Turkey,823225.0,13148.971223021583
6,France,117902.0,12407.38273381295
7,Germany,103018.0,9723.286330935252
8,Iran,50228.0,8874.31654676259
9,Spain,93822.0,7849.679136690647
10,Argentina,41080.0,7744.302158273381
11,Italy,40902.0,7678.841726618705
12,Colombia,33594.0,7342.83309352518
13,Indonesia,56757.0,6129.709352517985
14,Mexico,32244.0,5650.741007194245
15,Poland,35253.0,5645.28345323741
16,Ukraine,28477.0,5429.784172661871
17,South Africa,37875.0,4714.4302158273385
18,Netherlands,23783.0,4308.54964028777
19,Philippines,27887.0,4082.6820143884893
20,Malaysia,24599.0,3901.818705035971
21,Czechia,27793.0,3436.3352517985613
22,Peru,21358.0,3252.0575539568345
23,Thailand,23418.0,3144.5942446043164
24,Iraq,13515.0,3007.231654676259
25,Belgium,47836.0,2863.539568345324
26,Canada,11381.0,2700.169784172662
27,Romania,18863.0,2585.5726618705035
28,Chile,13990.0,2574.2575539568347
29,Japan,25992.0,2487.336690647482
30,Bangladesh,16230.0,2274.460431654676
31,Vietnam,39132.0,2170.464748201439
32,Israel,22291.0,1948.2028776978418
33,Slovakia,17538.0,1893.7726618705035
34,Pakistan,12073.0,1856.8215827338129
35,Serbia,9983.0,1842.653237410072
36,Sweden,32485.0,1799.8345323741007
37,Austria,15809.0,1791.7007194244604
38,Hungary,27830.0,1752.9424460431655
39,Portugal,16432.0,1749.315107913669
40,Switzerland,23895.0,1691.684892086331
41,Kazakhstan,66121.0,1533.2330935251798
42,Jordan,9535.0,1484.2431654676259
43,Greece,8969.0,1477.556834532374
44,Cuba,9907.0,1386.989928057554
45,Morocco,12039.0,1370.356834532374
46,Georgia,6208.0,1300.9798561151079
47,Nepal,9317.0,1187.6906474820144
48,United Arab Emirates,4471.0,1069.9079136690648
49,Bulgaria,7560.0,1040.9107913669066
50,Tunisia,9823.0,1036.7165467625898
51,Lebanon,6154.0,1003.9913669064748
52,Belarus,2097.0,980.6
53,Croatia,7315.0,963.9424460431654
54,Ireland,8227.0,926.8244604316546
55,Guatemala,5826.0,897.0489208633094
56,Azerbaijan,7319.0,875.9928057553957
57,Denmark,11388.0,873.4906474820144
58,Sri Lanka,11366.0,832.2863309352518
59,Costa Rica,6952.0,818.0402877697842
60,Bolivia,7072.0,806.7395683453237
61,"Korea, South",10295.0,804.1194244604317
62,Saudi Arabia,5439.0,792.2618705035972
63,Ecuador,11536.0,771.4086330935252
64,Burma,7083.0,759.6129496402878
65,Lithuania,3984.0,718.3625899280576
66,Panama,5186.0,694.4992805755396
67,West Bank and Gaza,30356.0,669.2
68,Paraguay,3481.0,667.7640287769784
69,Slovenia,4521.0,642.4546762589928
70,Venezuela,2979.0,633.6661870503597
71,Kuwait,1993.0,595.6431654676259
72,Dominican Republic,2370.0,591.7496402877698
73,Uruguay,7289.0,581.1496402877698
74,Mongolia,7394.0,556.1438848920864
75,Libya,4322.0,548.2345323741007
76,Honduras,4043.0,544.8705035971223
77,Ethiopia,2372.0,539.5956834532374
78,Egypt,1881.0,537.4230215827338
79,Moldova,2273.0,535.0359712230215
80,Norway,10867.0,494.52805755395684
81,Armenia,2603.0,494.0287769784173
82,Oman,5517.0,438.53669064748203
