,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvaccinations,totalbooster,fullyvacnumber
0,AFG,Afghanistan,157445.0,7312.0,0.0,56.02,30.1323692307692,3.0,2.5122699386503102,3.0,0.13538461538461502,5228706.0,0.0,3566192.0
1,ALB,Albania,201730.0,3110.0,81840662.0,63.89,49.158251533742295,4.0,3.0460122699386503,2.0,2.0,2130714.0,78250.0,971974.0
2,DZA,Algeria,211469.0,6103.0,0.0,85.19,59.86918674698789,3.0,3.0,2.0,1.78593272171254,12145830.0,25381.0,5380385.0
3,AND,Andorra,18010.0,132.0,8830188.0,65.74,50.57095384615379,3.0,2.5840978593272204,2.0,0.08,104534.0,0.0,49535.0
4,AGO,Angola,65259.0,1735.0,0.0,65.74,56.662515337423294,4.0,2.9601226993865,2.0,1.06134969325153,9847459.0,0.0,3072475.0
5,ARG,Argentina,5340676.0,116646.0,5144722921.0,84.26,72.205,3.0,2.9654088050314504,2.0,1.8584905660377402,69891521.0,2490555.0,30265301.0
6,ABW,Aruba,,,0.0,67.59,42.8272085889571,3.0,2.3650306748466297,2.0,1.1319018404908,161913.0,0.0,78159.0
7,AUS,Australia,219121.0,2056.0,5366082762.0,78.24,61.7666666666667,4.0,2.8226299694189603,2.0,1.02752293577982,39652404.0,536892.0,19008755.0
8,AUT,Austria,1198478.0,12796.0,17248306948.0,82.41,65.4870570570571,3.0,2.48929663608563,2.0,0.8807339449541279,14457526.0,2341624.0,6051450.0
9,AZE,Azerbaijan,596388.0,7967.0,685653599.0,89.81,64.4420958083832,4.0,2.8960244648318,2.0,0.9296636085626909,10702988.0,1011169.0,4593278.0
10,BHS,Bahamas,22825.0,695.0,5063656.0,68.98,58.0119018404908,4.0,3.3680981595092003,3.0,1.9539877300613502,280176.0,0.0,138266.0
11,BHR,Bahrain,277831.0,1394.0,1311759560.0,62.96,49.463633633633606,4.0,3.34504792332268,2.0,1.12232415902141,2982080.0,0.0,1162095.0
12,BGD,Bangladesh,1577443.0,28001.0,2240310051.0,93.52,74.3495833333333,4.0,3.7916666666666696,3.0,2.10576923076923,102108505.0,0.0,37824243.0
13,BRB,Barbados,26095.0,238.0,0.0,74.07,64.0639556962025,4.0,2.95253164556962,2.0,1.83544303797468,292080.0,0.0,138096.0
14,BLR,Belarus,663813.0,5162.0,695620893.0,43.52,36.226614906832296,3.0,2.3229813664596297,1.0,0.7080745341614909,6331049.0,0.0,2712219.0
15,BEL,Belgium,1827467.0,27167.0,4995732505.0,75.93,53.711771771771794,3.0,2.8562691131498505,2.0,1.0305810397553499,19226776.0,2083019.0,8712921.0
16,BLZ,Belize,30680.0,579.0,7794269.0,73.15,63.8585625,4.0,3.259375,2.0,1.71875,412002.0,0.0,195230.0
17,BEN,Benin,24863.0,161.0,640586.0,55.56,39.744174174174205,4.0,3.63302752293578,1.0,0.345565749235474,383501.0,0.0,297726.0
