,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvaccinations,totalbooster,fullyvaccinated
0,AFG,Afghanistan,157032.0,7306.0,0.0,56.02,30.1323692307692,3.0,2.51076923076923,3.0,0.13538461538461502,0.0,0.0,0.0
1,ALB,Albania,197776.0,3063.0,81840662.0,63.89,49.158251533742295,4.0,3.0460122699386503,2.0,2.0,2074670.0,57338.0,951371.0
2,DZA,Algeria,209463.0,6035.0,0.0,85.19,60.1759021406728,3.0,3.0,2.0,1.78593272171254,0.0,0.0,0.0
3,AND,Andorra,16426.0,131.0,8830188.0,65.74,50.57095384615379,3.0,2.58153846153846,2.0,0.08,104534.0,0.0,49535.0
4,AGO,Angola,65080.0,1731.0,0.0,65.74,56.662515337423294,4.0,2.9601226993865,2.0,1.06134969325153,9026310.0,0.0,2760266.0
5,ARG,Argentina,5319867.0,116458.0,5092574630.0,84.26,72.205,3.0,2.9654088050314504,2.0,1.8584905660377402,0.0,0.0,0.0
6,ABW,Aruba,,,0.0,67.59,42.8272085889571,3.0,2.3650306748466297,2.0,1.1319018404908,161401.0,0.0,77877.0
7,AUS,Australia,203642.0,1978.0,5176200578.0,78.24,61.5662385321101,4.0,2.8226299694189603,2.0,1.02752293577982,38801068.0,375635.0,18533097.0
8,AUT,Austria,1095297.0,12180.0,16371365068.0,82.41,65.3719571865443,3.0,2.48929663608563,2.0,0.8807339449541279,13321484.0,1499101.0,5879889.0
9,AZE,Azerbaijan,578627.0,7709.0,669064747.0,89.81,64.9494801223242,4.0,2.8960244648318,2.0,0.9296636085626909,10363317.0,764782.0,4538992.0
10,BHS,Bahamas,22696.0,671.0,4222896.0,68.98,58.0119018404908,4.0,3.3680981595092003,3.0,1.9539877300613502,0.0,0.0,0.0
11,BHR,Bahrain,277481.0,1394.0,1274989402.0,62.96,49.7935474006116,,,2.0,1.12232415902141,2878762.0,0.0,1155518.0
12,BGD,Bangladesh,1574948.0,27961.0,2164614701.0,93.52,74.3495833333333,4.0,3.7916666666666696,3.0,2.10576923076923,91737886.0,0.0,35407912.0
13,BRB,Barbados,24432.0,215.0,0.0,74.07,64.0639556962025,4.0,2.95253164556962,2.0,1.83544303797468,288982.0,0.0,135721.0
14,BLR,Belarus,645069.0,4995.0,674914094.0,43.52,36.226614906832296,3.0,2.3229813664596297,1.0,0.7080745341614909,0.0,0.0,0.0
15,BEL,Belgium,1659025.0,26743.0,4848932213.0,75.93,53.7331804281346,3.0,2.8562691131498505,2.0,1.0305810397553499,18424610.0,1337664.0,8680270.0
16,BLZ,Belize,29967.0,569.0,7446377.0,73.15,63.8585625,4.0,3.259375,2.0,1.71875,0.0,0.0,0.0
17,BEN,Benin,24850.0,161.0,640586.0,55.56,39.453975535168205,4.0,3.63302752293578,1.0,0.345565749235474,383501.0,0.0,297726.0
18,BMU,Bermuda,,,0.0,79.63,51.4521230769231,3.0,2.01538461538462,2.0,1.32307692307692,101341.0,5512.0,47365.0
19,BTN,Bhutan,2633.0,3.0,167878749.0,81.94,61.366717791411,4.0,3.49693251533742,2.0,1.41717791411043,0.0,0.0,0.0
20,BOL,Bolivia,531428.0,19096.0,490759446.0,56.48,33.103865030674804,,,,,8448131.0,363267.0,4088196.0
21,BIH,Bosnia and Herzegovina,271323.0,12386.0,215419415.0,45.37,39.0348012232416,3.0,2.53211009174312,2.0,0.902140672782875,1553874.0,0.0,720641.0
22,BWA,Botswana,194652.0,2416.0,113762132.0,73.15,53.1438650306748,4.0,2.89877300613497,2.0,1.69938650306748,1352557.0,0.0,469369.0
23,BRA,Brazil,22043112.0,613339.0,9651665876.0,76.39,60.085141065830705,4.0,3.76175548589342,3.0,2.0564263322884,304659197.0,15093083.0,131215922.0
24,BRN,Brunei,14771.0,97.0,0.0,79.63,52.5490519877676,4.0,2.6666666666666696,2.0,0.660550458715596,738282.0,0.0,336671.0
25,BGR,Bulgaria,682552.0,27778.0,577589278.0,62.96,47.53695384615379,4.0,2.87692307692308,1.0,0.0676923076923077,3241333.0,0.0,1725730.0
26,BFA,Burkina Faso,15514.0,265.0,0.0,30.56,19.6057556270096,,,2.0,0.21864951768488697,661796.0,0.0,297231.0
27,BDI,Burundi,20351.0,38.0,0.0,27.31,15.515214723926402,3.0,1.17791411042945,0.0,0.0,0.0,0.0,0.0
28,KHM,Cambodia,119977.0,2914.0,64925980.0,73.15,64.32066037735851,4.0,3.05345911949686,3.0,1.77672955974843,28510511.0,2186207.0,13262981.0
29,CMR,Cameroon,106794.0,1791.0,0.0,41.67,31.3239449541284,3.0,3.0,0.0,0.0,923643.0,0.0,565876.0
30,CAN,Canada,1783319.0,29635.0,11195023526.0,75.46,70.6602140672783,3.0,3.0,2.0,1.4770642201834898,60153599.0,1057479.0,28912964.0
31,CPV,Cape Verde,,,0.0,64.81,55.241437308868505,3.0,2.92354740061162,1.0,1.0,0.0,0.0,0.0
32,CAF,Central African Republic,11708.0,101.0,0.0,27.78,15.4404347826087,3.0,1.8416149068323002,2.0,0.7701863354037269,422496.0,0.0,321982.0
33,TCD,Chad,5107.0,175.0,0.0,74.07,28.969096774193503,4.0,4.0,2.0,0.470967741935484,0.0,0.0,0.0
34,CHL,Chile,1749099.0,38175.0,5076521951.0,84.72,69.6874006116208,3.0,2.64831804281346,3.0,2.2813455657492403,40474022.0,8179870.0,16040923.0
35,CHN,China,111058.0,4849.0,0.0,79.17,73.45224358974359,4.0,2.47435897435897,3.0,2.5416666666666696,2456617000.0,0.0,0.0
36,COL,Colombia,5055253.0,128236.0,5978500609.0,81.02,62.6065644171779,4.0,2.53680981595092,3.0,2.36196319018405,55391614.0,0.0,24089350.0
37,COG,Congo,,,0.0,55.56,43.919323076923106,3.0,3.0,2.0,2.0,625579.0,0.0,128936.0
38,CRI,Costa Rica,566296.0,7280.0,388819633.0,66.67,57.7635409836066,3.0,3.0,1.0,1.0,0.0,0.0,0.0
39,CIV,Cote d'Ivoire,61660.0,703.0,211293224.0,25.93,20.9078548895899,4.0,3.9274447949526805,1.0,0.981072555205047,3845788.0,0.0,1176366.0
40,HRV,Croatia,582769.0,10505.0,500982174.0,67.59,43.1782874617737,4.0,2.87461773700306,1.0,0.0336391437308868,4047302.0,0.0,1912240.0
41,CUB,Cuba,961458.0,8299.0,584281418.0,81.48,72.30794478527609,,,2.0,1.72085889570552,0.0,0.0,0.0
42,CYP,Cyprus,131462.0,591.0,2526474533.0,84.26,57.8330886850153,4.0,2.90214067278287,2.0,1.13149847094801,0.0,0.0,0.0
43,CZE,Czechia,2044018.0,32408.0,0.0,81.48,51.881498470948,4.0,2.7094801223241602,2.0,0.5535168195718649,13217751.0,709479.0,6302884.0
44,COD,Democratic Republic of Congo,,,0.0,52.78,38.069755351682,,,2.0,1.82874617737003,186749.0,0.0,53013.0
45,DNK,Denmark,467022.0,2842.0,9982579728.0,70.37,49.633608562691094,3.0,2.18042813455657,1.0,0.428134556574924,9643267.0,693831.0,4444626.0
46,DJI,Djibouti,13503.0,186.0,0.0,54.63,45.0263580246914,4.0,3.45987654320988,0.0,0.0,99679.0,0.0,26087.0
47,DMA,Dominica,5642.0,35.0,0.0,79.63,44.455956112852704,4.0,2.40752351097179,2.0,1.3291536050156698,0.0,0.0,0.0
48,DOM,Dominican Republic,404754.0,4195.0,188401519.0,70.37,63.3042201834862,4.0,3.38837920489297,2.0,1.8654434250764498,13744109.0,1321084.0,5565330.0
49,ECU,Ecuador,524432.0,33128.0,423538630.0,76.85,63.7419571865443,3.0,2.9051987767584104,3.0,1.15596330275229,24619310.0,330856.0,11140453.0
50,EGY,Egypt,353024.0,20109.0,0.0,65.74,49.6985256410256,4.0,3.9935897435897405,1.0,0.4775641025641029,0.0,0.0,0.0
51,SLV,El Salvador,118041.0,3762.0,83439357.0,47.22,33.653198757764,4.0,3.5217391304347796,2.0,0.31987577639751597,9121715.0,664514.0,4041016.0
52,ERI,Eritrea,7250.0,57.0,0.0,92.59,67.6621100917431,3.0,2.71253822629969,2.0,1.4801223241590198,,,
53,EST,Estonia,219259.0,1763.0,474782152.0,67.59,38.8667584097859,2.0,1.87155963302752,2.0,0.198776758409786,1473206.0,0.0,783175.0
54,SWZ,Eswatini,46506.0,1248.0,0.0,75.0,62.14411042944779,4.0,3.97546012269939,2.0,1.8282208588957098,306445.0,0.0,260763.0
55,ETH,Ethiopia,370712.0,6708.0,746571886.0,51.85,43.8166055045872,4.0,3.1100917431192703,0.0,0.0,6890413.0,0.0,1423493.0
56,FRO,Faeroe Islands,,,0.0,59.26,35.4359938837921,2.0,1.22324159021407,1.0,0.577981651376147,78347.0,0.0,38142.0
57,FJI,Fiji,52474.0,695.0,17196741.0,90.74,67.0327868852459,2.0,1.8393442622950802,2.0,2.0,0.0,0.0,0.0
58,FIN,Finland,179534.0,1302.0,1707824276.0,52.31,44.5007339449541,2.0,1.4281345565749197,1.0,0.9296636085626909,0.0,0.0,0.0
59,FRA,France,7586146.0,119686.0,0.0,75.0,62.061100917431204,4.0,3.2538226299694197,2.0,1.03975535168196,103748464.0,6105497.0,46829883.0
60,GAB,Gabon,37223.0,276.0,44068397.0,71.3,64.1036809815951,3.0,3.0,2.0,2.0,277979.0,0.0,111626.0
61,GMB,Gambia,9988.0,342.0,5870327.0,45.37,36.53318042813461,4.0,2.6972477064220204,1.0,0.125382262996942,268008.0,0.0,222890.0
62,GEO,Georgia,822383.0,11679.0,475893185.0,84.26,56.009908256880706,4.0,2.85932721712538,3.0,1.15290519877676,0.0,0.0,0.0
63,DEU,Germany,5595674.0,100123.0,2854120708.0,85.19,67.0582568807339,2.0,2.0,2.0,1.3547400611620801,119756434.0,7456368.0,56759598.0
64,GHA,Ghana,130920.0,1209.0,280790023.0,50.93,42.554845679012296,4.0,4.0,,,3493688.0,0.0,842225.0
