,Country/Region,max_case_rates,avg_case_rates
0,United States,1213848.0,291803.8852223816
1,India,1242564.0,149555.97417503587
2,Brazil,450318.0,95611.60114777618
3,United Kingdom,278721.0,49177.86370157819
4,Russia,120630.0,43203.21090387375
5,Turkey,2469675.0,39482.44906743185
6,France,353706.0,37575.92539454806
7,Germany,309054.0,29323.15351506456
8,Iran,150684.0,26560.885222381636
9,Spain,281466.0,23481.464849354375
10,Argentina,123240.0,23198.164992826398
11,Italy,122706.0,23195.789096126256
12,Colombia,100782.0,21982.73888091822
13,Indonesia,170271.0,18338.06599713056
14,Poland,105759.0,17039.48350071736
15,Mexico,96732.0,16926.305595408896
16,Ukraine,85431.0,16292.948350071736
17,South Africa,113625.0,14238.48206599713
18,Netherlands,71349.0,13009.187948350072
19,Philippines,83661.0,12213.38737446198
20,Malaysia,73797.0,11702.819225251076
21,Czechia,83379.0,10343.96556671449
22,Peru,64074.0,9750.301291248206
23,Thailand,70254.0,9432.671449067431
24,Iraq,40545.0,8997.761836441894
25,Belgium,143508.0,8607.305595408896
26,Canada,34143.0,8132.401721664275
27,Romania,56589.0,7739.763271162124
28,Chile,41970.0,7712.091822094691
29,Japan,77976.0,7442.0143472022955
30,Bangladesh,48690.0,6805.235294117647
31,Vietnam,117396.0,6630.4648493543755
32,Israel,66873.0,5834.251076040172
33,Slovakia,52614.0,5703.671449067432
34,Pakistan,36219.0,5558.681492109039
35,Serbia,29949.0,5519.918220946915
36,Sweden,97455.0,5384.010043041607
37,Austria,47427.0,5378.655667144907
38,Portugal,49296.0,5273.035868005739
39,Hungary,83490.0,5243.737446197992
40,Switzerland,71685.0,5060.492109038737
41,Kazakhstan,198363.0,4592.255380200861
42,Jordan,28605.0,4461.9727403156385
43,Greece,26907.0,4450.803443328551
44,Cuba,29721.0,4149.6284074605455
45,Morocco,36117.0,4101.06456241033
46,Georgia,18624.0,3913.170731707317
47,Nepal,27951.0,3554.100430416069
48,United Arab Emirates,13413.0,3202.8852223816357
49,Bulgaria,22680.0,3119.625538020086
50,Tunisia,29469.0,3103.4332855093257
51,Lebanon,18462.0,3016.971305595409
52,Belarus,6291.0,2946.7489239598276
53,Croatia,21945.0,2906.87087517934
54,Ireland,24681.0,2826.111908177905
55,Denmark,34164.0,2685.7015781922523
56,Guatemala,17478.0,2684.638450502152
57,Azerbaijan,21957.0,2626.906743185079
58,Sri Lanka,34098.0,2495.057388809182
59,"Korea, South",30885.0,2455.1492109038736
60,Costa Rica,20856.0,2447.0789096126255
61,Bolivia,21216.0,2430.761836441894
62,Saudi Arabia,16317.0,2370.912482065997
63,Ecuador,34608.0,2307.5853658536585
64,Burma,21249.0,2273.6857962697272
65,Lithuania,11952.0,2162.173601147776
66,Panama,15558.0,2079.180774748924
67,West Bank and Gaza,91068.0,2001.8393113342897
68,Paraguay,10443.0,1997.5437589670014
69,Slovenia,13563.0,1930.6829268292684
70,Venezuela,8937.0,1900.5538020086083
71,Kuwait,5979.0,1782.3443328550932
72,Dominican Republic,7110.0,1772.1133428981348
73,Uruguay,21867.0,1740.860832137733
74,Mongolia,22182.0,1666.209469153515
75,Libya,12966.0,1643.109038737446
76,Honduras,12129.0,1629.9210903873745
77,Ethiopia,7116.0,1619.9784791965567
78,Egypt,5643.0,1615.480631276901
79,Moldova,6819.0,1602.0086083213773
80,Norway,32601.0,1508.2812051649928
81,Armenia,7809.0,1479.06456241033
82,Oman,16551.0,1312.093256814921
83,Bosnia and Herzegovina,11265.0,1223.5523672883787
84,Bahrain,9819.0,1198.7044476327117
85,Singapore,15972.0,1187.560975609756
86,Latvia,9618.0,1149.809182209469
87,Kenya,6507.0,1135.0373027259684
88,Australia,12093.0,1096.1922525107605
89,Qatar,7065.0,1061.1348637015783
90,Estonia,6900.0,999.0817790530847
91,Nigeria,7392.0,961.9067431850789
92,North Macedonia,4533.0,952.4461979913917
93,Zambia,10782.0,931.8852223816356
94,Algeria,5781.0,923.6384505021521
95,Finland,12918.0,918.1549497847919
96,Albania,3717.0,885.6972740315639
97,Botswana,25590.0,860.2467718794835
98,Uzbekistan,2943.0,848.2381635581062
99,Zimbabwe,27555.0,824.9913916786227
100,Kyrgyzstan,34515.0,792.8048780487804
101,Kosovo,12771.0,694.0975609756098
102,Montenegro,2622.0,692.9483500717361
103,Mozambique,7380.0,688.2525107604017
104,Afghanistan,9729.0,679.1406025824964
105,Cyprus,5727.0,624.7962697274031
106,Namibia,9804.0,594.7661406025825
107,Ghana,5925.0,567.7661406025825
108,Uganda,63972.0,555.4992826398852
109,El Salvador,8961.0,523.0846484935438
110,Cambodia,3390.0,518.2898134863701
111,China,45408.0,483.9641319942611
112,Cameroon,29004.0,463.3945480631277
113,Rwanda,9216.0,437.2252510760402
114,Laos,5694.0,424.26972740315637
115,Luxembourg,5901.0,413.6642754662841
116,Maldives,6582.0,404.4060258249641
117,Jamaica,4290.0,396.0602582496413
118,Trinidad and Tobago,3750.0,367.6700143472023
119,Senegal,5166.0,319.2008608321377
120,Angola,4479.0,283.8077474892396
121,Malawi,3948.0,278.6556671449067
122,Congo (Kinshasa),6243.0,277.3945480631277
123,Cote d'Ivoire,2301.0,267.1893830703013
124,Eswatini,4926.0,258.40459110473455
125,Fiji,5562.0,226.49784791965567
126,Suriname,3177.0,221.30272596843616
127,Syria,2715.0,214.13629842180774
128,Madagascar,4503.0,203.56527977044476
129,Sudan,3645.0,194.1692969870875
130,Malta,1530.0,180.14203730272598
131,Mauritania,1203.0,172.52367288378767
132,Guyana,1587.0,167.30272596843616
133,Cabo Verde,1473.0,166.0932568149211
134,Gabon,1920.0,162.4519368723099
135,Papua New Guinea,2925.0,154.96700143472023
136,Belize,4146.0,134.4878048780488
137,Guinea,1110.0,132.6284074605452
138,Barbados,1335.0,116.93974175035868
139,Togo,1569.0,114.82639885222382
140,Tanzania,73437.0,113.987087517934
141,Haiti,1626.0,111.5638450502152
142,Lesotho,20775.0,109.87661406025825
143,Benin,7698.0,107.20373027259684
144,Seychelles,1452.0,103.50215208034433
145,Somalia,2187.0,99.72309899569584
146,Bahamas,1581.0,98.974175035868
147,Mauritius,4587.0,98.59540889526542
148,Burundi,6501.0,92.20373027259684
149,Andorra,2088.0,88.44619799139168
150,Iceland,1260.0,87.08177905308465
151,Timor-Leste,1596.0,85.36441893830703
152,Mali,1239.0,83.0961262553802
153,Congo (Brazzaville),1947.0,82.54949784791965
154,Tajikistan,1221.0,75.29268292682927
155,Nicaragua,2154.0,74.85365853658537
156,Taiwan*,2169.0,72.3271162123386
157,Burkina Faso,1014.0,71.75896700143473
158,Brunei,1740.0,66.29268292682927
159,Equatorial Guinea,5250.0,58.614060258249644
160,Djibouti,1245.0,58.25681492109039
161,New Zealand,666.0,58.09325681492109
162,South Sudan,1044.0,57.284074605451934
163,Saint Lucia,1167.0,56.59540889526542
164,Central African Republic,12132.0,51.48206599713056
165,Yemen,522.0,43.47632711621234
166,Gambia,1761.0,43.26111908177905
167,Eritrea,846.0,33.41319942611191
168,Niger,435.0,30.985652797704446
169,San Marino,765.0,30.159253945480632
170,Sierra Leone,576.0,27.998565279770446
171,Guinea-Bissau,480.0,27.787661406025826
172,Dominica,1158.0,27.055954088952653
173,Grenada,1566.0,25.47632711621234
174,Liberia,1194.0,25.15351506456241
175,Saint Vincent and the Grenadines,966.0,24.78335724533716
176,Chad,1788.0,24.546628407460545
177,Liechtenstein,531.0,24.365853658536587
178,Comoros,702.0,20.010043041606888
179,Monaco,675.0,18.96413199426112
180,Antigua and Barbuda,897.0,18.068866571018653
181,Sao Tome and Principe,453.0,16.076040172166426
182,Saint Kitts and Nevis,519.0,12.055954088952655
183,Bhutan,300.0,11.436154949784791
184,Summer Olympics 2020,336.0,3.7230989956958394
185,Diamond Princess,297.0,3.0645624103299856
186,Holy See,21.0,0.11621233859397417
187,Solomon Islands,15.0,0.08608321377331421
188,MS Zaandam,21.0,0.03873744619799139
189,Palau,9.0,0.03443328550932568
190,Vanuatu,6.0,0.03012912482065997
191,Marshall Islands,9.0,0.01721664275466284
192,Samoa,3.0,0.01291248206599713
193,Kiribati,3.0,0.00860832137733142
194,Micronesia,3.0,0.00430416068866571
195,Tonga,3.0,0.00430416068866571
