"","X.1","X","isocode","country","Confirmed","Deaths","tests","MaxStringencyIndex","MeanStringencyIndex","MaxFacialCoverings","MeanFacialCoverings","MaxStayHome","MeanStayHome","totalvaccinations","totalbooster","fullyvacnumber","logofConfirmed","logofDeaths","logofTests","logofTotalVaccines","logofTotalBoosters","logofFullyVaccinated"
"1",2,1,"ALB","Albania",201730,3110,81840662,63.89,49.1582515337423,4,3.04601226993865,2,2,2130714,78250,971974,12.2146854486284,8.04237800517328,18.220284768529,14.5719676927825,11.2676641084024,13.7870843341136
"2",6,5,"ARG","Argentina",5340676,116646,5144722921,84.26,72.205,3,2.96540880503145,2,1.85849056603774,69891521,2490555,30265301,15.4908627946846,11.6668989862487,22.3612373507492,18.0624548979866,14.7280161351705,17.22551243274
"3",8,7,"AUS","Australia",219121,2056,5366082762,78.24,61.7666666666667,4,2.82262996941896,2,1.02752293577982,39652404,536892,19008755,12.2973793676359,7.62851762657506,22.4033640122375,17.4956621347242,13.1935522359458,16.7604102204735
"4",9,8,"AUT","Austria",1198478,12796,17248306948,82.41,65.4870570570571,3,2.48929663608563,2,0.880733944954128,14457526,2341624,6051450,13.9965629764094,9.45688790106941,23.5709798276649,16.4867256673874,14.6663552637094,15.6158084707124
"5",10,9,"AZE","Azerbaijan",596388,7967,685653599,89.81,64.4420958083832,4,2.8960244648318,2,0.929663608562691,10702988,1011169,4593278,13.2986467409459,8.98306328938037,20.3458831004301,16.1860335127849,13.8266176452592,15.340104488365
"6",16,15,"BEL","Belgium",1827467,27167,4995732505,75.93,53.7117717717718,3,2.85626911314985,2,1.03058103975535,19226776,2083019,8712921,14.4184414129875,10.2097582804242,22.3318498859429,16.7718144488032,14.5493288416609,15.9803176542608
"7",21,20,"BOL","Bolivia",543390,19222,504632403,56.48,33.1184984984985,4,3.95439739413681,2,0.782334384858044,8691198,374712,4190248,13.2055825731551,9.86381073538323,20.0393408073295,15.9778213473486,12.8339130098895,15.2482704786909
"8",24,23,"BRA","Brazil",22143091,615636,9716857322,76.39,60.0851410658307,4,3.76175548589342,3,2.0564263322884,314612221,18014777,136905306,16.9130360870628,13.3304111587692,22.9971280823574,19.5668513939878,16.7067029235143,18.7348000477253
"9",29,28,"KHM","Cambodia",120256,2960,64925980,73.15,64.3206603773585,4,3.05345911949686,3,1.77672955974843,28843614,2322719,13414877,11.6973780827731,7.99294454731811,17.9887584097388,17.1773991745967,14.6582490401654,16.411874872959
"10",31,30,"CAN","Canada",1815686,29821,11534983641,75.46,70.5966066066066,3,3,2,1.47706422018349,62032800,2117739,29099443,14.4119739157042,10.302968122297,23.1686503103657,17.9431738353792,14.5658595680884,17.1862295910651
