isocode,country,totalvaccinations,totalbooster,fullyvacnumber
OWID_ASI,Asia,5574248072.0,102963021.0,2342151952.0
BRN,Brunei,756080.0,0.0,351709.0
PNG,Papua New Guinea,467166.0,0.0,197800.0
SVN,Slovenia,2714211.0,321652.0,1157918.0
CHN,China,2553028000.0,0.0,0.0
AZE,Azerbaijan,10702988.0,1011169.0,4593278.0
NER,Niger,971636.0,0.0,464413.0
OWID_UMC,Upper middle income,3837874230.0,117228001.0,1679208853.0
CYP,Cyprus,1339063.0,128838.0,585087.0
EGY,Egypt,40644158.0,0.0,15515855.0
DZA,Algeria,12145830.0,25381.0,5380385.0
COG,Congo,651411.0,0.0,129711.0
IND,India,1278763558.0,0.0,477346183.0
OWID_LIC,Low income,56795758.0,0.0,20773662.0
KIR,Kiribati,82167.0,0.0,22675.0
LSO,Lesotho,617671.0,0.0,572287.0
OWID_ENG,England,98942857.0,17020419.0,39025116.0
TCD,Chad,258618.0,0.0,72824.0
NGA,Nigeria,10119982.0,0.0,3595400.0
TWN,Taiwan,32471621.0,0.0,14169298.0
TUN,Tunisia,10731223.0,469349.0,5247095.0
HUN,Hungary,0.0,2765500.0,5867068.0
GUY,Guyana,682779.0,0.0,280637.0
MEX,Mexico,134370326.0,0.0,65422436.0
BTN,Bhutan,1153555.0,0.0,564340.0
GAB,Gabon,277979.0,0.0,111626.0
ZAF,South Africa,26348830.0,0.0,14948436.0
SYC,Seychelles,179462.0,0.0,77951.0
ATG,Antigua and Barbuda,117637.0,0.0,56219.0
CPV,Cape Verde,544075.0,0.0,246960.0
CHE,Switzerland,12045452.0,642345.0,5716809.0
JEY,Jersey,187228.0,0.0,75335.0
LBR,Liberia,589628.0,0.0,456623.0
MCO,Monaco,49980.0,0.0,23308.0
LCA,Saint Lucia,102072.0,0.0,47268.0
BES,Bonaire Sint Eustatius and Saba,35845.0,0.0,16736.0
OWID_LMC,Lower middle income,2461309014.0,5713209.0,966611478.0
SYR,Syria,1422377.0,0.0,739210.0
GIN,Guinea,2493842.0,0.0,813477.0
IRQ,Iraq,12268675.0,0.0,4723137.0
GTM,Guatemala,10266743.0,0.0,4176059.0
CAN,Canada,62032800.0,2117739.0,29099443.0
HRV,Croatia,4245741.0,0.0,1979003.0
ALB,Albania,2130714.0,78250.0,971974.0
ARE,United Arab Emirates,21548528.0,2914743.0,8832256.0
BGR,Bulgaria,3400750.0,0.0,1802611.0
NPL,Nepal,18317508.0,0.0,8437860.0
VGB,British Virgin Islands,34992.0,0.0,16704.0
MUS,Mauritius,1875132.0,0.0,914936.0
GNB,Guinea-Bissau,368395.0,0.0,19078.0
MDA,Moldova,1644452.0,0.0,944930.0
BRB,Barbados,292080.0,0.0,138096.0
CRI,Costa Rica,7137983.0,35412.0,3215091.0
UKR,Ukraine,25559141.0,0.0,11826757.0
SLE,Sierra Leone,868726.0,0.0,361089.0
FRO,Faeroe Islands,78347.0,0.0,38142.0
KEN,Kenya,7583134.0,0.0,2954835.0
GEO,Georgia,2238070.0,0.0,1018984.0
SMR,San Marino,47834.0,0.0,22379.0
ETH,Ethiopia,10058925.0,0.0,1452584.0
DNK,Denmark,9911854.0,914751.0,4463547.0
FLK,Falkland Islands,4407.0,0.0,1775.0
GHA,Ghana,3493688.0,0.0,842225.0
BOL,Bolivia,8691198.0,374712.0,4190248.0
WSM,Samoa,248729.0,0.0,108864.0
PYF,French Polynesia,318790.0,0.0,155959.0
MDG,Madagascar,685440.0,0.0,484570.0
GMB,Gambia,268008.0,0.0,222890.0
CHL,Chile,41532402.0,8980522.0,16221873.0
YEM,Yemen,774953.0,0.0,361351.0
CYM,Cayman Islands,125717.0,0.0,56187.0
KHM,Cambodia,28843614.0,2322719.0,13414877.0
LUX,Luxembourg,0.0,0.0,429705.0
ZMB,Zambia,1134766.0,0.0,731770.0
GGY,Guernsey,104131.0,0.0,0.0
NIU,Niue,2352.0,0.0,1150.0
COK,Cook Islands,24326.0,0.0,11726.0
COL,Colombia,58590490.0,0.0,25168977.0
GRD,Grenada,75154.0,0.0,34593.0
MRT,Mauritania,1759659.0,0.0,684075.0
SXM,Sint Maarten (Dutch part),51856.0,0.0,24921.0
SRB,Serbia,7963609.0,1554127.0,3136806.0
VNM,Vietnam,126846771.0,0.0,53691472.0
MYS,Malaysia,53875223.0,2798233.0,25420679.0
NZL,New Zealand,7736783.0,121522.0,3688689.0
QAT,Qatar,5011447.0,0.0,0.0
COM,Comoros,523256.0,0.0,241310.0
CZE,Czechia,13851362.0,1134875.0,6415104.0
AIA,Anguilla,19914.0,663.0,9213.0
BLZ,Belize,412002.0,0.0,195230.0
OWID_WLS,Wales,5673108.0,935041.0,2267834.0
IRN,Iran,107531771.0,1287811.0,48149791.0
NAM,Namibia,674589.0,0.0,307891.0
MNG,Mongolia,4414941.0,0.0,2153408.0
UZB,Uzbekistan,34182226.0,0.0,0.0
BRA,Brazil,314612221.0,18014777.0,136905306.0
MLT,Malta,971433.0,132189.0,432844.0
LIE,Liechtenstein,51795.0,1677.0,25165.0
SLV,El Salvador,9241093.0,720514.0,4081545.0
GNQ,Equatorial Guinea,446624.0,0.0,198691.0
OWID_HIC,High income,1854390178.0,149093928.0,829786982.0
POL,Poland,42672883.0,3637272.0,20521241.0
PHL,Philippines,91777433.0,509944.0,38168603.0
SDN,Sudan,1659666.0,0.0,0.0
TCA,Turks and Caicos Islands,56343.0,0.0,27133.0
JPN,Japan,197620701.0,0.0,97685248.0
PSE,Palestine,3024477.0,0.0,1365858.0
GIB,Gibraltar,100396.0,19554.0,39840.0
BGD,Bangladesh,102108505.0,0.0,37824243.0
OWID_KOS,Kosovo,1624584.0,0.0,765669.0
NCL,New Caledonia,350362.0,0.0,169288.0
ECU,Ecuador,25309620.0,439649.0,11501793.0
FJI,Fiji,1237108.0,0.0,585788.0
EST,Estonia,1487367.0,0.0,793696.0
HND,Honduras,7960942.0,0.0,0.0
SVK,Slovakia,5001505.0,0.0,2349722.0
FRA,France,107043866.0,8760595.0,47303279.0
SWE,Sweden,16097826.0,1131706.0,7179328.0
BHS,Bahamas,280176.0,0.0,138266.0
AUS,Australia,39652404.0,536892.0,19008755.0
KGZ,Kyrgyzstan,2056269.0,0.0,914026.0
KWT,Kuwait,6578646.0,108687.0,3165385.0
ARM,Armenia,1236264.0,0.0,436861.0
TUV,Tuvalu,12114.0,0.0,5884.0
JAM,Jamaica,1135059.0,0.0,523049.0
MLI,Mali,847067.0,0.0,320681.0
IMN,Isle of Man,133195.0,0.0,64841.0
STP,Sao Tome and Principe,121357.0,0.0,38074.0
THA,Thailand,93753156.0,3494673.0,41732668.0
UGA,Uganda,4751422.0,0.0,912983.0
DOM,Dominican Republic,13866766.0,1356217.0,5619966.0
BLR,Belarus,6331049.0,0.0,2712219.0
RWA,Rwanda,9440343.0,0.0,3452598.0
MAC,Macao,930802.0,0.0,442605.0
BEN,Benin,383501.0,0.0,297726.0
IRL,Ireland,8339577.0,913670.0,3798451.0
NRU,Nauru,14863.0,0.0,7251.0
SGP,Singapore,10083329.0,0.0,5012181.0
TON,Tonga,118185.0,0.0,45002.0
GRC,Greece,14788422.0,1696563.0,6663358.0
BWA,Botswana,1430084.0,0.0,508980.0
TJK,Tajikistan,5579193.0,0.0,2555173.0
IDN,Indonesia,241441928.0,0.0,99009581.0
RUS,Russia,130634456.0,4937582.0,58695024.0
ESP,Spain,77157350.0,5499256.0,37655150.0
KAZ,Kazakhstan,16955745.0,0.0,8176988.0
AUT,Austria,14457526.0,2341624.0,6051450.0
SEN,Senegal,1910830.0,0.0,924182.0
BHR,Bahrain,2982080.0,0.0,1162095.0
CIV,Cote d'Ivoire,3845788.0,0.0,1176366.0
MAR,Morocco,48851348.0,0.0,22764566.0
MOZ,Mozambique,10503956.0,0.0,3931200.0
MMR,Myanmar,28100411.0,0.0,11615096.0
OWID_OCE,Oceania,50616946.0,658414.0,24102404.0
TZA,Tanzania,1337045.0,0.0,983801.0
OWID_AFR,Africa,247357382.0,494730.0,103010789.0
CMR,Cameroon,953375.0,0.0,595316.0
PER,Peru,42111301.0,992007.0,18576645.0
NLD,Netherlands,24693092.0,0.0,0.0
MNE,Montenegro,536689.0,0.0,259469.0
SOM,Somalia,964433.0,0.0,564612.0
SLB,Solomon Islands,208046.0,0.0,46525.0
GRL,Greenland,77808.0,0.0,37537.0
DMA,Dominica,55760.0,0.0,26852.0
TKL,Tokelau,1936.0,0.0,968.0
ITA,Italy,98729849.0,8682311.0,44154825.0
BMU,Bermuda,101341.0,5512.0,47365.0
SHN,Saint Helena,7892.0,0.0,3531.0
OWID_EUR,Europe,976196027.0,84438567.0,439537728.0
TGO,Togo,1665087.0,0.0,567834.0
BIH,Bosnia and Herzegovina,1553874.0,0.0,720641.0
SWZ,Eswatini,306445.0,0.0,260763.0
FIN,Finland,8357278.0,0.0,4054134.0
JOR,Jordan,7950684.0,0.0,3776263.0
MDV,Maldives,775843.0,15416.0,364520.0
OWID_NIR,Northern Ireland,3094393.0,443222.0,1276190.0
ABW,Aruba,161913.0,0.0,78159.0
AFG,Afghanistan,5228706.0,0.0,3566192.0
ZWE,Zimbabwe,6759589.0,0.0,2884043.0
PRY,Paraguay,6216388.0,117151.0,2703605.0
WLF,Wallis and Futuna,11939.0,0.0,5923.0
LVA,Latvia,2220155.0,0.0,1207491.0
MKD,North Macedonia,1675793.0,63137.0,789905.0
KNA,Saint Kitts and Nevis,52924.0,0.0,24997.0
OWID_NAM,North America,760753065.0,50657320.0,329052508.0
TTO,Trinidad and Tobago,1297311.0,0.0,648391.0
CUW,Curacao,198653.0,0.0,95517.0
NOR,Norway,8799704.0,703289.0,3850609.0
GBR,United Kingdom,117880359.0,20258417.0,46527302.0
USA,United States,470297846.0,46219529.0,197440859.0
OWID_SCT,Scotland,10170001.0,1859735.0,3958162.0
VCT,Saint Vincent and the Grenadines,55950.0,0.0,23388.0
AND,Andorra,104534.0,0.0,49535.0
AGO,Angola,9847459.0,0.0,3072475.0
KOR,South Korea,86476510.0,3956401.0,41341888.0
TUR,Turkey,120910438.0,13884811.0,50653666.0
DJI,Djibouti,104475.0,0.0,26087.0
CUB,Cuba,28623729.0,0.0,9280509.0
BEL,Belgium,19226776.0,2083019.0,8712921.0
BFA,Burkina Faso,661796.0,0.0,297231.0
SAU,Saudi Arabia,47701071.0,0.0,22620922.0
VEN,Venezuela,26314390.0,0.0,9858581.0
OWID_CYN,Northern Cyprus,617389.0,80243.0,275988.0
LBN,Lebanon,3660210.0,0.0,1710771.0
LTU,Lithuania,3770993.0,356740.0,1790996.0
ROU,Romania,15095967.0,0.0,7507203.0
BDI,Burundi,1711.0,0.0,914.0
DEU,Germany,127656766.0,13914334.0,57383300.0
NIC,Nicaragua,6376188.0,0.0,2322298.0
PRT,Portugal,17862361.0,1530075.0,9005089.0
PCN,Pitcairn,94.0,0.0,47.0
TKM,Turkmenistan,7580976.0,0.0,3206282.0
ISR,Israel,16254505.0,4100290.0,5782188.0
VUT,Vanuatu,129582.0,0.0,40110.0
ISL,Iceland,665013.0,153073.0,281402.0
LAO,Laos,5830021.0,0.0,3099003.0
HKG,Hong Kong,9540544.0,0.0,4552531.0
CAF,Central African Republic,422496.0,0.0,321982.0
ARG,Argentina,69891521.0,2490555.0,30265301.0
LBY,Libya,2377003.0,0.0,666531.0
COD,Democratic Republic of Congo,193416.0,0.0,56167.0
HTI,Haiti,184769.0,0.0,66888.0
OMN,Oman,5934585.0,0.0,2828176.0
OWID_WRL,World,8210433733.0,272035138.0,3496411602.0
OWID_SAM,South America,601262241.0,32823086.0,258556221.0
OWID_EUN,European Union,656293698.0,56027116.0,301986049.0
URY,Uruguay,6825827.0,1413713.0,2660281.0
SUR,Suriname,479697.0,0.0,221199.0
TLS,Timor,1112223.0,0.0,465372.0
SSD,South Sudan,218154.0,0.0,133315.0
PAN,Panama,5650424.0,201734.0,2437285.0
LKA,Sri Lanka,29707010.0,0.0,13763844.0
PAK,Pakistan,126586512.0,0.0,52303524.0
MWI,Malawi,1476957.0,0.0,617998.0
MSR,Montserrat,2949.0,0.0,1417.0
